,Unnamed: 0,Código,Nome,Cota (m),Afluência (m³/s),Defluência (m³/s),Vazão Vertida (m³/s),Vazão Turbinada (m³/s),Vazão Natural (m³/s),Volume Útil (%),Vazão Incremental (m³/s),Data da Medição,data,PG,h2,PGreglin,PGregpol3,erroreglin,erroregpol
23,23,19115,IRAPE,504.43,121,49,0,49,121.66,80.94,,24/01/2022,2022-01-24,68.7295833333333,339.183603982553,70.31734589121604,70.13420461649201,1.5877625578827406,1.4046212831587184
24,24,19115,IRAPE,504.36,106,209,0,209,117.29,80.7,,25/01/2022,2022-01-25,350.560291666667,306.75369346467,304.95319621038556,310.3937266340756,45.607095456281456,40.16656503259139
25,25,19115,IRAPE,504.27,130,256,0,256,121.13,80.41,,26/01/2022,2022-01-26,378.984416666667,329.862260672519,375.1950651680667,382.2830004053357,3.789351498600297,3.2985837386686967
26,26,19115,IRAPE,504.17,112,256,0,256,128.37,80.07,,27/01/2022,2022-01-27,379.400666666667,329.570703399179,374.96998563681757,382.05792087408656,4.430681029849438,2.6572542074195553
27,27,19115,IRAPE,504.09,139,257,0,257,136.81,79.79,,28/01/2022,2022-01-28,379.28775,330.22183988469,376.2882690322333,383.4046681403837,2.999480967766715,4.116918140383689
28,28,19115,IRAPE,504.13,157,97,0,97,143.44,79.94,,29/01/2022,2022-01-29,99.1917083333333,383.657478265361,139.66696594688855,140.57356823629843,40.47525761355526,41.38185990296513
29,29,19115,IRAPE,504.2,148,48,0,48,153.68,80.17,,30/01/2022,2022-01-30,67.8410833333333,337.691694013714,68.77931827982984,68.58490878890603,0.9382349464965358,0.7438254555727326
30,30,19115,IRAPE,504.28,163,48,0,48,155.73,80.44,,31/01/2022,2022-01-31,67.6917916666667,338.13811361218,68.81283196003423,68.61842246911044,1.1210402933675283,0.9266308024437393
31,31,19115,IRAPE,504.32,163,48,0,48,156.97,80.57,,01/02/2022,2022-02-01,68.3464166666667,336.571410204001,68.82896817642893,68.63455868550514,0.4825515097622315,0.2881420188384425
32,32,19115,IRAPE,504.39,149,48,0,48,158.15,80.81,,02/02/2022,2022-02-02,68.4978333333333,336.269775032126,68.85875811438837,68.66434862346456,0.3609247810550613,0.1665152901312581
33,33,19115,IRAPE,504.51,163,48,0,48,162.86,81.21,,03/02/2022,2022-02-03,67.0769583333333,339.877152851637,68.90840801098746,68.71399852006365,1.831449677654163,1.63704018673036
34,34,19115,IRAPE,504.62,206,48,0,48,205.91,81.58,,04/02/2022,2022-02-04,67.3024583333333,339.43368847349,68.95433416534158,68.75992467441779,1.6518758320082725,1.4574663410844835
35,35,19115,IRAPE,504.76,250,48,0,48,249.95,82.05,,05/02/2022,2022-02-05,67.9942083333333,337.875865929883,69.0126727938455,68.81826330292171,1.0184644605121917,0.8240549695884027
36,36,19115,IRAPE,504.89,235,48,0,48,235.0,82.49,,06/02/2022,2022-02-06,67.725625,338.665073502229,69.06728768010447,68.87287818918068,1.341662680104477,1.147253189180688
37,37,19115,IRAPE,505.02,235,48,0,48,235.05,82.93,,07/02/2022,2022-02-07,68.427,337.073627479068,69.12190256636346,68.92749307543967,0.6949025663634529,0.5004930754396639
38,38,19115,IRAPE,505.22,278,47,0,47,278.1,83.61,,08/02/2022,2022-02-08,67.6545416666667,335.636551025746,67.75725987828235,67.55212930621052,0.10271821161565242,0.10241236045618507
39,39,19115,IRAPE,505.39,294,48,0,48,294.15,84.18,,09/02/2022,2022-02-09,67.4959583333333,339.728764494902,69.27705849323557,69.0826490023118,1.781100159902266,1.5866906689784912
40,40,19115,IRAPE,505.51,307,47,0,47,307.2,84.59,,10/02/2022,2022-02-10,67.7463333333333,335.696465254163,67.87636791147784,67.671237339406,0.13003457814454578,0.07509599392729172
41,41,19115,IRAPE,505.74,380,47,0,47,380.25,85.37,,11/02/2022,2022-02-11,67.6883333333334,336.071848546965,67.9711681827967,67.76603761072487,0.28283484946329907,0.07770427739146157
42,42,19115,IRAPE,505.98,454,106,0,106,454.3,86.18,,12/02/2022,2022-02-12,157.5215,330.907336567369,154.48334378099565,155.69054845615625,3.0381562190043496,1.830951543843753
43,43,19115,IRAPE,506.26,454,47,0,47,454.35,87.13,,13/02/2022,2022-02-13,67.1819166666667,337.861236866445,68.18507648731105,67.97994591523921,1.0031598206443562,0.7980292485725187
44,44,19115,IRAPE,506.52,425,47,0,47,425.41,88.02,,14/02/2022,2022-02-14,67.21375,338.041443162637,68.29324602766206,68.08811545559023,1.07949602766206,0.8743654555902225
45,45,19115,IRAPE,506.7,456,194,0,194,456.46,88.63,,15/02/2022,2022-02-15,332.439708333333,304.818962458751,286.5960044552642,291.41931442222904,45.843703878068766,41.02039391110395
46,46,19115,IRAPE,506.85,467,251,0,251,467.5,89.13,,16/02/2022,2022-02-16,377.261333333333,329.776757818234,373.33334237249807,380.2740830797545,3.9279909608349612,3.012749746421491
47,47,19115,IRAPE,507.12,480,77,0,77,480.55,90.08,,17/02/2022,2022-02-17,111.970833333333,335.803753460461,112.65116255988292,112.9859456797657,0.6803292265499152,1.0151123464327014
48,48,19115,IRAPE,507.44,561,99,0,99,561.6,91.16,,18/02/2022,2022-02-18,143.369166666667,336.829823719128,145.44963907875473,146.4209560721198,2.0804724120877154,3.05178940545278
49,49,19115,IRAPE,507.72,662,252,0,252,662.64,92.12,,19/02/2022,2022-02-19,380.57075,329.802269251638,376.808043683097,383.77886152399407,3.7627063169029498,3.2081115239940914
50,50,19115,IRAPE,508.29,975,137,24,113,975.69,94.08,,20/02/2022,2022-02-20,167.418916666667,333.743779528569,167.5338503983384,169.5068538469342,0.11493373167138543,2.087937180267204
51,51,19115,IRAPE,508.54,786,412,160,252,786.74,94.95,,21/02/2022,2022-02-21,383.23,329.37906355206,384.8713225156081,388.2201777004318,1.641322515608067,4.990177700431786
52,52,19115,IRAPE,508.63,675,548,295,253,675.79,95.25,,22/02/2022,2022-02-22,383.352083333333,330.120360887153,391.9020701865829,386.7184700364478,8.54998685324989,3.366386703114813
53,53,19115,IRAPE,508.56,561,664,410,254,561.83,95.01,,23/02/2022,2022-02-23,383.8445,330.524761424508,397.8380805102763,382.18535629292643,13.993580510276331,1.6591437070735537
54,54,19115,IRAPE,508.39,412,663,409,254,412.88,94.42,,24/02/2022,2022-02-24,382.859625,330.811567385234,397.41137488992723,381.8590144557174,14.551749889927237,1.0006105442826083
55,55,19115,IRAPE,508.2,347,627,374,253,347.92,93.77,,25/02/2022,2022-02-25,382.946125,329.879397229275,394.01665739341576,382.01305177810264,11.07053239341576,0.9330732218973594
56,56,19115,IRAPE,508.15,285,358,105,253,285.96,93.6,,26/02/2022,2022-02-26,382.106875,330.220197804357,383.4080906825616,388.84921110754823,1.3012156825615762,6.742336107548226
57,57,19115,IRAPE,508.08,247,350,100,250,248.0,93.36,,27/02/2022,2022-02-27,378.3175,329.800754337498,378.39810688020214,384.0094846755157,0.08060688020214002,5.691984675515698
58,58,19115,IRAPE,508.02,215,303,54,249,216.05,93.15,,28/02/2022,2022-02-28,376.192375,330.030244314441,374.9441850884726,381.5263962042467,1.2481899115274473,5.334021204246653
59,59,19115,IRAPE,507.98,192,251,0,251,193.08,93.01,,01/03/2022,2022-03-01,378.699583333333,330.23169369672,375.8517299402015,382.79247064745795,2.8478533931315155,4.092887314124937
60,60,19115,IRAPE,507.92,167,249,0,249,168.12,92.82,,02/03/2022,2022-03-02,377.498583333333,329.312231516801,372.6577417574136,379.537395719974,4.840841575919399,2.038812386640984
61,61,19115,IRAPE,507.85,147,250,0,250,139.83,92.57,,03/03/2022,2022-03-03,377.628625,329.895381443978,374.0312992969384,380.94165085742895,3.5973257030615855,3.313025857428954
62,62,19115,IRAPE,507.78,138,241,0,241,130.2,92.33,,04/03/2022,2022-03-04,362.351333333333,330.647934641199,360.08204818819564,366.7054467507753,2.26928514513736,4.354113417442306
63,63,19115,IRAPE,507.81,135,91,0,91,122.64,92.43,,05/03/2022,2022-03-05,99.46525,379.04010202248,133.88269984100182,134.6028581086056,34.417449841001826,35.137608108605605
64,64,19115,IRAPE,507.84,94,50,0,50,117.08,92.53,,06/03/2022,2022-03-06,67.67675,348.379230422994,73.25865359890138,73.08732277287571,5.581903598901377,5.41057277287571
65,65,19115,IRAPE,507.78,93,181,0,181,112.91,92.33,,07/03/2022,2022-03-07,311.782708333333,304.844598163281,268.7599814824423,273.0300024411801,43.022726850890706,38.7527058921529
66,66,19115,IRAPE,507.71,119,222,0,222,103.35,92.09,,08/03/2022,2022-03-08,331.856625,331.60086537821,330.90545962884295,336.8528811880888,0.9511653711570602,4.9962561880888074
67,67,19115,IRAPE,507.64,117,220,0,220,104.39,91.84,,09/03/2022,2022-03-09,331.998708333333,329.853787233211,327.7142359821817,333.58573301437065,4.284472351151294,1.587024681037633
