,Unnamed: 0,Código,Nome,Cota (m),Afluência (m³/s),Defluência (m³/s),Vazão Vertida (m³/s),Vazão Turbinada (m³/s),Vazão Natural (m³/s),Volume Útil (%),Vazão Incremental (m³/s),Data da Medição,data,PG,h2,PGreglin,PGregpol3,erroreglin,erroregpol
177,177,19120,QUEIMADO,827.46,10.95,21,0,21,13.97,86.33,,27/06/2022,2022-06-27,29.8015833333333,660.272266963505,30.40141154993579,30.377981945277813,0.5998282166024893,0.5763986119445121
178,178,19120,QUEIMADO,827.43,11.07,21,0,21,14.0,86.11,,28/06/2022,2022-06-28,29.3133333333333,662.981363398149,30.396553597065115,30.373123992407137,1.083220263731814,1.0597906590738368
179,179,19120,QUEIMADO,827.41,11.07,21,0,21,13.82,85.89,,29/06/2022,2022-06-29,29.0189166666667,664.613049300793,30.39169564419444,30.36826603953646,1.3727789775277373,1.34934937286976
180,180,19120,QUEIMADO,827.38,10.31,21,0,21,13.71,85.66,,30/06/2022,2022-06-30,28.898375,665.25929149105,30.38661687528418,30.3631872706262,1.488241875284178,1.4648122706261972
181,181,19120,QUEIMADO,827.35,10.66,22,0,22,13.56,85.41,,01/07/2022,2022-07-01,30.5025833333333,664.007835277119,31.95227788381243,31.961588385162994,1.4496945504791334,1.4590050518296955
182,182,19120,QUEIMADO,827.32,10.54,22,0,22,13.45,85.15,,02/07/2022,2022-07-02,30.9391666666667,661.639919633408,31.946263275496353,31.95557377684692,1.0070966088296522,1.016407110180218
183,183,19120,QUEIMADO,827.29,9.89,22,0,22,13.36,84.88,,03/07/2022,2022-07-03,30.4554166666667,664.200414062066,31.940017336091184,31.949327837441746,1.4846006694244842,1.4939111707750463
184,184,19120,QUEIMADO,827.26,10.31,21,0,21,13.09,84.65,,04/07/2022,2022-07-04,29.2308333333333,663.274190752697,30.36431445528698,30.340884850629,1.133481121953679,1.1100515172956982
185,185,19120,QUEIMADO,827.23,9.66,21,0,21,13.24,84.39,,05/07/2022,2022-07-05,29.5662916666667,661.362259928724,30.358573238257996,30.335143633600016,0.7922815715912961,0.7688519669333154
186,186,19120,QUEIMADO,827.21,10.21,20,0,20,13.46,84.21,,06/07/2022,2022-07-06,27.9355416666667,662.654854668805,28.795993721403804,28.746328730914918,0.8604520547371024,0.8107870642482169
187,187,19120,QUEIMADO,827.18,10.16,20,0,20,13.18,83.99,,07/07/2022,2022-07-07,27.110875,667.482578381571,28.79136709962221,28.74170210913332,1.6804920996222101,1.630827109133321
188,188,19120,QUEIMADO,827.15,9.49,20,0,20,13.04,83.76,,08/07/2022,2022-07-08,27.3855833333333,665.834400711893,28.78653017685053,28.73686518636164,1.4009468435172288,1.3512818530283397
189,189,19120,QUEIMADO,827.12,9.7,21,0,21,12.94,83.51,,09/07/2022,2022-07-09,30.7419583333333,654.656736375225,30.339141426775296,30.31571182211731,0.40281690655800517,0.42624651121598944
190,190,19120,QUEIMADO,827.09,9.77,21,0,21,13.04,83.26,,10/07/2022,2022-07-10,30.2249583333333,657.527121130393,30.333621025785874,30.310191421127893,0.10866269245257243,0.08523308779459171
191,191,19120,QUEIMADO,827.06,9.03,21,0,21,12.46,82.94,,11/07/2022,2022-07-11,29.050125,664.087969660108,30.32655491251943,30.30312530786145,1.2764299125194292,1.2530003078614484
192,192,19120,QUEIMADO,827.03,9.31,22,1,21,12.71,82.74,,12/07/2022,2022-07-12,29.7377083333333,660.200607536496,30.440943733799543,30.449831030543255,0.7032354004662444,0.7121226972099564
