,Unnamed: 0,Código,Nome,Cota (m),Afluência (m³/s),Defluência (m³/s),Vazão Vertida (m³/s),Vazão Turbinada (m³/s),Vazão Natural (m³/s),Volume Útil (%),Vazão Incremental (m³/s),Data da Medição,data,PG,h2,PGreglin,PGregpol3,erroreglin,erroregpol
177,177,19115,IRAPE,506.13,10,48,0,48,21.14,86.7,,27/06/2022,2022-06-27,70.6146666666667,332.814245788337,69.58985284180974,69.39544335088596,1.024813824856949,1.219223315780738
178,178,19115,IRAPE,506.11,16,48,0,48,19.97,86.61,,28/06/2022,2022-06-28,70.5669166666666,332.911442790805,69.57868161507496,69.38427212415115,0.9882350515916443,1.1826445425154475
179,179,19115,IRAPE,506.09,16,48,0,48,20.21,86.55,,29/06/2022,2022-06-29,70.88775,332.103993472303,69.57123413058508,69.3768246396613,1.3165158694149142,1.5109253603387032
180,180,19115,IRAPE,506.07,16,48,0,48,20.44,86.47,,30/06/2022,2022-06-30,70.6886666666667,332.572621114355,69.56130415126529,69.36689466034149,1.1273625154014155,1.3217720063252187
181,181,19115,IRAPE,506.04,14,52,0,52,20.48,86.38,,01/07/2022,2022-07-01,76.2244583333333,333.346747681161,75.37805997035017,75.23195716218717,0.8463983629831375,0.9925011711461309
182,182,19115,IRAPE,506.01,14,55,0,55,20.31,86.29,,02/07/2022,2022-07-02,86.2779583333333,321.201673072011,79.73944400298011,79.63512778312523,6.538514330353195,6.642830550208075
183,183,19115,IRAPE,505.99,16,51,0,51,20.14,86.21,,03/07/2022,2022-07-03,66.7967916666667,351.688626270461,73.89819544714332,73.739212406398,7.101403780476616,6.94242073973129
184,184,19115,IRAPE,505.97,15,47,0,47,20.37,86.15,,04/07/2022,2022-07-04,68.9906666666667,333.037408748246,68.06596845411558,67.86083788204374,0.924698212551121,1.1298287846229584
185,185,19115,IRAPE,505.95,15,47,0,47,19.6,86.06,,05/07/2022,2022-07-05,69.8514583333333,330.859741042789,68.05502996127109,67.84989938919925,1.7964283720622092,2.0015589441340467
186,186,19115,IRAPE,505.93,15,47,0,47,20.43,86.01,,06/07/2022,2022-07-06,69.7708333333333,331.041836352826,68.04895302080192,67.84382244873008,1.7218803125313826,1.9270108846032201
187,187,19115,IRAPE,505.9,16,62,0,62,20.66,85.9,,07/07/2022,2022-07-07,108.587333333333,299.565502892269,89.89251432671841,89.90342754955802,18.694819006614594,18.68390578377499
188,188,19115,IRAPE,505.86,14,72,0,72,20.28,85.77,,08/07/2022,2022-07-08,107.529666666667,329.913687822529,104.4781579119986,104.69400296477897,3.0515087546684043,2.8356637018880235
189,189,19115,IRAPE,505.84,16,59,0,59,20.91,85.7,,09/07/2022,2022-07-09,70.4383333333333,365.189453110571,85.48506144895066,85.4436194874864,15.046728115617356,15.005286154153097
190,190,19115,IRAPE,505.81,13,48,0,48,20.73,85.62,,10/07/2022,2022-07-10,70.5360833333333,332.687119738297,69.45579812099223,69.26138863006844,1.0802852123410673,1.2746947032648563
191,191,19115,IRAPE,505.78,15,61,0,61,20.16,85.5,,11/07/2022,2022-07-11,106.612666666667,299.876685947811,88.37012946997241,88.36310543755779,18.242537196694585,18.249561229109204
192,192,19115,IRAPE,505.74,12,73,0,73,19.78,85.36,,12/07/2022,2022-07-12,108.148583333333,331.205076435355,105.86310626145877,106.10189526989762,2.285477071874226,2.0466880634353686
193,193,19115,IRAPE,505.7,17,72,0,72,21.2,85.24,,13/07/2022,2022-07-13,108.159958333333,328.722367836298,104.37947874250791,104.5953237952883,3.780479590825081,3.5646345380447
194,194,19115,IRAPE,505.63,11,107,0,107,18.82,85.01,,14/07/2022,2022-07-14,159.8445,329.635828540892,155.6335050232867,156.87553922824722,4.210994976713323,2.9689607717527906
195,195,19115,IRAPE,505.58,14,101,0,101,19.64,84.82,,15/07/2022,2022-07-15,156.047416666667,323.559805119976,146.7632970303832,147.80055100033633,9.284119636283805,8.246865666330677
196,196,19115,IRAPE,505.55,12,58,0,58,19.66,84.72,,16/07/2022,2022-07-16,67.68425,368.068585200943,83.88023160146979,83.82231861867473,16.195981601469782,16.138068618674723
197,197,19115,IRAPE,505.53,13,48,0,48,20.88,84.67,,17/07/2022,2022-07-17,67.867375,338.957164076055,69.33787961656944,69.14347012564565,1.4705046165694426,1.2760951256456536
198,198,19115,IRAPE,505.47,14,101,0,101,20.1,84.46,,18/07/2022,2022-07-18,152.872791666667,327.152819713324,146.66927253869872,147.70652650865185,6.203519127968292,5.166265158015165
199,199,19115,IRAPE,505.4,14,109,0,109,19.92,84.23,,19/07/2022,2022-07-19,169.455583333333,322.247120789665,158.35631162181807,159.66880809427226,11.099271711514945,9.786775239060745
200,200,19115,IRAPE,505.34,14,109,0,109,20.33,84.0,,20/07/2022,2022-07-20,174.076708333333,317.192464772483,158.2914823037067,159.60397877616086,15.785226029626301,14.47272955717213
201,201,19115,IRAPE,505.24,16,163,0,163,20.35,83.68,,21/07/2022,2022-07-21,241.801416666667,330.474540989921,237.93388427506198,241.42670843306897,3.8675323916050104,0.3747082335980281
202,202,19115,IRAPE,505.12,15,197,0,197,20.17,83.25,,22/07/2022,2022-07-22,295.666666666667,328.304430432916,288.3783332932842,293.3272807806886,7.288333373382841,2.339385885978402
203,203,19115,IRAPE,505.07,14,92,0,92,20.38,83.09,,23/07/2022,2022-07-23,117.319916666667,354.835981554766,133.14608894986085,133.89649232065577,15.826172283193856,16.57657565398877
204,204,19115,IRAPE,505.04,13,59,0,59,19.79,82.98,,24/07/2022,2022-07-24,65.80325,373.644740322242,85.07007106321004,85.02862910174578,19.26682106321003,19.225379101745773
205,205,19115,IRAPE,504.95,15,151,0,151,20.4,82.68,,25/07/2022,2022-07-25,258.793375,303.038724411623,219.74731443586023,222.72537299909175,39.04606056413979,36.06800200090828
206,206,19115,IRAPE,504.81,10,203,0,203,19.41,82.22,,26/07/2022,2022-07-26,302.753458333333,329.107702569656,296.8086057024009,302.0057482621442,5.944852630932132,0.7477100711888056
207,207,19115,IRAPE,504.65,12,248,0,248,19.82,81.68,,27/07/2022,2022-07-27,369.233041666667,329.248524456852,363.97866557614117,370.8273170582041,5.254376090525852,1.594275391537053
208,208,19115,IRAPE,504.49,15,248,0,248,19.02,81.14,,28/07/2022,2022-07-28,366.928958333333,330.18306251503,363.6323575473626,370.4810090294255,3.2966007859704405,3.552050696092465
209,209,19115,IRAPE,504.37,14,198,0,198,19.23,80.74,,29/07/2022,2022-07-29,292.6185,330.26110675339,288.58756635962845,293.57817790930216,4.030933640371529,0.9596779093021723
210,210,19115,IRAPE,504.23,12,207,0,207,19.84,80.28,,30/07/2022,2022-07-30,309.943666666667,327.830728833402,301.7463060844156,307.1062929618903,8.197360582251406,2.8373737047767236
211,211,19115,IRAPE,504.2,14,66,0,66,20.64,80.18,,31/07/2022,2022-07-31,95.5499583333333,333.642456695222,94.756510556237,94.84391576924263,0.79344777709629,0.7060425640906658
212,212,19115,IRAPE,504.1,15,173,0,173,21.05,79.83,,01/08/2022,2022-08-01,260.021916666667,327.028682983188,251.07553615514934,255.00059579538717,8.946380511517646,5.021320871279812
213,213,19115,IRAPE,503.96,13,211,0,211,19.45,79.37,,02/08/2022,2022-08-02,312.872916666667,329.269261471085,307.2108092165327,312.7312564064369,5.662107450134272,0.1416602602300827
214,214,19115,IRAPE,503.79,13,251,0,251,19.05,78.8,,03/08/2022,2022-08-03,371.728916666667,329.313480221804,366.62846000796793,373.5692007152244,5.100456658699045,1.8402840485574075
215,215,19115,IRAPE,503.63,13,248,0,248,19.45,78.25,,04/08/2022,2022-08-04,365.78725,329.865422769146,361.778968282233,368.62761976429596,4.008281717766977,2.8403697642959855
216,216,19115,IRAPE,503.47,12,244,0,244,18.86,77.71,,05/08/2022,2022-08-05,353.9235,332.585001412551,355.45255962003375,362.17422395866805,1.5290596200337632,8.250723958668061
217,217,19115,IRAPE,503.4,11,111,0,111,18.06,77.48,,06/08/2022,2022-08-06,135.476875,359.610704140594,159.35866442533015,160.7426640690256,23.88178942533014,25.2657890690256
