,Unnamed: 0,Código,Nome,Cota (m),Afluência (m³/s),Defluência (m³/s),Vazão Vertida (m³/s),Vazão Turbinada (m³/s),Vazão Natural (m³/s),Volume Útil (%),Vazão Incremental (m³/s),Data da Medição,data,PG,h2,PGreglin,PGregpol3,erroreglin,erroregpol
20,20,19018,NOVA PONTE,791.15,463.92,172,0,172,426.78,26.16,,21/01/2022,2022-01-21,140.521083333333,694.900738096875,151.0701961132248,135.7514577343351,10.5491127798918,4.769625598997891
21,21,19018,NOVA PONTE,791.25,404.84,140,0,140,380.83,26.38,,22/01/2022,2022-01-22,113.46775,695.766402619958,116.46329892827737,115.12018742288481,2.9955489282773726,1.652437422884816
22,22,19018,NOVA PONTE,791.33,366.04,139,0,139,359.7,26.57,,23/01/2022,2022-01-23,112.873625,695.663025821056,115.51729270635178,114.41184512610315,2.6436677063517777,1.5382201261031412
23,23,19018,NOVA PONTE,791.39,301.15,139,0,139,350.83,26.7,,24/01/2022,2022-01-24,113.289625,695.370441581306,115.57946117570056,114.47401359545194,2.2898361757005574,1.184388595451935
24,24,19018,NOVA PONTE,791.46,306.57,139,0,139,333.35,26.85,,25/01/2022,2022-01-25,112.854583333333,695.809164743088,115.65119402494915,114.54574644470053,2.796610691616152,1.6911631113675298
25,25,19018,NOVA PONTE,791.53,301.15,139,0,139,309.09,27.01,,26/01/2022,2022-01-26,114.001083333333,694.907439188104,115.72770906414766,114.62226148389904,1.7266257308146606,0.6211781505660383
26,26,19018,NOVA PONTE,791.63,305.15,143,0,143,309.45,27.23,,27/01/2022,2022-01-27,117.428958333333,694.886112160388,120.0097827401429,117.8919072779465,2.5808244068098958,0.4629489446135011
27,27,19018,NOVA PONTE,791.68,278.19,143,0,143,314.17,27.35,,28/01/2022,2022-01-28,117.411208333333,694.950735504012,120.06882042326558,117.95094496106918,2.6576120899325844,0.5397366277361897
28,28,19018,NOVA PONTE,791.74,305.15,143,0,143,318.25,27.48,,29/01/2022,2022-01-29,115.98125,696.18880717031,120.13277791331505,118.01490245111866,4.15152791331505,2.0336524511186553
29,29,19018,NOVA PONTE,791.82,355.2,139,0,139,311.57,27.66,,30/01/2022,2022-01-30,114.100458333333,695.113213085159,116.03855141089163,114.933103830643,1.9380930775586336,0.8326454973100113
30,30,19018,NOVA PONTE,791.95,491.39,140,0,140,360.21,27.95,,31/01/2022,2022-01-31,114.571791666667,695.53734683106,117.21950421675884,115.87639271136628,2.647712550091839,1.3046010446992824
31,31,19018,NOVA PONTE,792.13,571.41,139,0,139,480.31,28.35,,01/02/2022,2022-02-01,114.41525,695.15640880518,116.36852251743501,115.26307493718639,1.9532725174350105,0.8478249371863882
32,32,19018,NOVA PONTE,792.35,670.56,76,0,76,627.45,28.84,,02/02/2022,2022-02-02,59.3380833333333,700.367695247923,56.69308082980485,57.14485270328959,2.6450025035284526,2.1932306300437148
33,33,19018,NOVA PONTE,792.56,713.92,141,0,141,663.12,29.32,,03/02/2022,2022-02-03,117.129625,694.693962257715,118.9293097551654,117.33835669511015,1.7996847551654014,0.20873169511014567
34,34,19018,NOVA PONTE,792.76,676.19,141,0,141,639.38,29.77,,04/02/2022,2022-02-04,117.600833333333,694.500250653716,119.1476046848931,117.55665162483783,1.5467713515600963,0.044181708495173666
35,35,19018,NOVA PONTE,792.96,698.74,142,0,142,713.69,30.23,,05/02/2022,2022-02-05,117.348583333333,695.601500463785,120.42676298812002,118.57761435174676,3.0781796547870215,1.2290310184137638
36,36,19018,NOVA PONTE,793.14,659.91,141,0,141,638.3,30.64,,06/02/2022,2022-02-06,117.368791666667,695.074129858126,119.56964154903336,117.97868848897811,2.20084988236637,0.6098968223111143
37,37,19018,NOVA PONTE,793.41,870.63,141,0,141,696.73,31.24,,07/02/2022,2022-02-07,117.192708333333,695.491253851273,119.86070145533692,118.26974839528168,2.667993122003921,1.0770400619486793
38,38,19018,NOVA PONTE,793.69,952.88,142,0,142,913.24,31.87,,08/02/2022,2022-02-08,119.008958333333,694.953966844923,121.22796902807265,119.37882039169939,2.2190106947396515,0.36986205836639385
39,39,19018,NOVA PONTE,794.0,979.73,142,0,142,987.41,32.57,,09/02/2022,2022-02-09,119.71975,694.674257040307,121.56994721585721,119.72079857948395,1.8501972158572073,0.001048579483949652
40,40,19018,NOVA PONTE,794.31,978.85,141,0,141,1038.92,33.26,,10/02/2022,2022-02-10,119.330958333333,694.604668645331,120.84060313989251,119.24965007983725,1.509644806559507,0.08130825349574877
41,41,19018,NOVA PONTE,794.61,1031.78,140,0,140,1051.75,33.94,,11/02/2022,2022-02-11,118.444458333333,694.938481252187,120.10464413905446,118.76153263366193,1.6601858057214542,0.31707430032892603
42,42,19018,NOVA PONTE,794.97,1111.92,139,0,139,1118.12,34.75,,12/02/2022,2022-02-12,118.492833333333,694.540419334987,119.42912408537468,118.32367650512606,0.9362907520416854,0.1691568282069369
43,43,19018,NOVA PONTE,795.34,1288.31,139,0,139,1193.99,35.7,,13/02/2022,2022-02-13,118.587458333333,694.830219133818,119.88343213061579,118.77798455036717,1.2959737972827838,0.1905262170341615
